date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2009-03-31,1.2669,1.3739,1.2457,1.3243,4.5307,10.2914,0.6131,9.6806,0.4477
2009-04-30,1.3241,1.3582,1.2886,1.3223,-0.1359,5.4012,0.4842,5.2636,-0.0259
2009-05-29,1.3223,1.417,1.3211,1.4153,7.0332,7.2591,0.9823,6.7759,0.9698
2009-06-30,1.4158,1.434,1.3749,1.4031,-0.897,4.2985,0.4772,4.2121,-0.2149
2009-07-31,1.4034,1.4304,1.3832,1.4249,1.532,3.4124,0.8835,3.3125,0.4555
2009-08-31,1.4255,1.4449,1.4046,1.4331,0.5331,2.8691,0.7072,2.8121,0.1886
2009-09-30,1.4329,1.4844,1.4177,1.4634,2.1286,4.7048,0.6852,4.5579,0.4573
2009-10-30,1.4634,1.5063,1.4481,1.473,0.656,4.0191,0.4278,3.9511,0.1649
2009-11-30,1.4718,1.5145,1.4627,1.5006,1.9568,3.5414,0.7317,3.452,0.556
2009-12-31,1.5004,1.5141,1.4218,1.4324,-4.5321,6.4918,0.1148,6.4437,-0.7367
2010-01-29,1.4323,1.458,1.3862,1.3862,-3.2186,5.1796,0.0,5.1796,-0.6421
2010-02-26,1.386,1.4026,1.3444,1.3626,-1.6883,4.3291,0.3127,4.2712,-0.4021
2010-03-31,1.363,1.3818,1.3268,1.3506,-0.9098,4.1453,0.4327,4.0723,-0.2255
2010-04-30,1.3507,1.3692,1.3112,1.329,-1.6066,4.4234,0.3069,4.3642,-0.3741
2010-05-31,1.3327,1.333,1.2141,1.2307,-7.6536,9.7933,0.1396,9.6612,-0.8579
2010-06-30,1.2306,1.2467,1.1874,1.2234,-0.5851,4.9941,0.6071,4.8471,-0.1214
2010-07-30,1.2233,1.3107,1.2191,1.305,6.6787,7.5137,0.9378,7.0192,0.8919
2010-08-31,1.3061,1.3334,1.2584,1.2688,-2.8558,5.9599,0.1387,5.9111,-0.4973
2010-09-30,1.2688,1.3683,1.2641,1.3627,7.4007,8.243,0.9463,7.6466,0.9012
2010-10-29,1.3629,1.4157,1.3615,1.3944,2.3112,3.9809,0.607,3.887,0.5812
2010-11-30,1.3963,1.4282,1.2966,1.2984,-7.0114,10.1496,0.0137,10.1356,-0.7439
2010-12-31,1.3001,1.3497,1.2968,1.3385,2.9536,4.0793,0.7883,3.9522,0.7259
2011-01-31,1.3285,1.3758,1.287,1.3692,3.0636,6.8998,0.9257,6.4855,0.4583
2011-02-28,1.3691,1.3861,1.3426,1.3804,0.8254,3.24,0.869,3.1513,0.2598
2011-03-31,1.3822,1.425,1.3741,1.4169,2.5105,3.7042,0.8409,3.5923,0.6817
2011-04-29,1.4173,1.4882,1.406,1.4809,4.4874,5.8464,0.9112,5.5507,0.7737
2011-05-31,1.4826,1.494,1.3966,1.4394,-2.9138,6.9741,0.4394,6.7667,-0.4435
2011-06-30,1.4412,1.4696,1.407,1.4491,0.5482,4.4492,0.6725,4.3199,0.1262
2011-07-29,1.4473,1.4577,1.3837,1.4398,-0.5182,5.348,0.7581,5.1396,-0.1014
2011-08-31,1.4358,1.4548,1.4054,1.4379,0.1463,3.515,0.6579,3.4356,0.0425
2011-09-30,1.4363,1.4401,1.3362,1.3386,-6.8022,7.7758,0.0231,7.7618,-0.9403
2011-10-31,1.3362,1.4246,1.3145,1.3857,3.7045,8.3758,0.6467,7.9454,0.4496
2011-11-30,1.3851,1.3937,1.3211,1.3445,-2.9312,5.4954,0.3223,5.3998,-0.5592
2011-12-30,1.3451,1.3548,1.2857,1.2956,-3.68,5.3745,0.1433,5.3334,-0.7164
2012-01-31,1.2937,1.3233,1.2624,1.308,1.1054,4.8241,0.7488,4.656,0.2348
2012-02-29,1.3075,1.3485,1.2973,1.3323,1.8967,3.9467,0.6836,3.843,0.4844
2012-03-30,1.3318,1.3385,1.3001,1.3338,0.1502,2.9536,0.8776,2.879,0.0521
2012-04-30,1.3356,1.338,1.2994,1.3241,-0.861,2.9706,0.6399,2.9152,-0.2979
2012-05-31,1.324,1.3284,1.2335,1.2359,-6.6541,7.6936,0.0253,7.6786,-0.9283
2012-06-29,1.2351,1.2747,1.2287,1.266,2.5018,3.7438,0.8109,3.6335,0.6717
2012-07-31,1.267,1.2673,1.2041,1.2297,-2.944,5.2487,0.4051,5.1395,-0.5902
2012-08-31,1.2298,1.2637,1.2132,1.2576,2.2605,4.1625,0.8792,4.0156,0.5505
2012-09-28,1.258,1.3172,1.2499,1.2857,2.2019,5.3844,0.5319,5.2345,0.4116
2012-10-31,1.2814,1.3139,1.2803,1.2955,1.1004,2.6244,0.4524,2.5936,0.4196
2012-11-30,1.2955,1.3027,1.2659,1.2985,0.2316,2.907,0.8859,2.834,0.0815
2012-12-31,1.2982,1.3308,1.2875,1.3192,1.6176,3.3631,0.7321,3.2823,0.485
2013-01-31,1.319,1.3593,1.2996,1.3576,2.9265,4.5937,0.9715,4.3975,0.6466
